OpCode,Campaign,OLDVideoDirectory,OLDVideoSubdirectory,Vessel,Region,Fjord,Location,SetNo,RepNo,OldSetName,FieldCode,SiteID,SiteID2021,Repeat site from 2021,Reserve,Year,Unit,Camera left,Camera right,Date,Date2,Time in,Time out,Lat deg,Lat min,Long deg,Long min,Depth sounder,Depth sensor,BottomTemp,SST,Wind/sea/…/notes,Bait,Quality,QualityTag,QualityNotes,Comments,Observations,Hapuku,BlackCoral,ToAnnotate,Annotated_date,Annotator,Successful.count,Successful.length,Successful.meancount,Successful.meancount.length,Notes.Success,IDcheck,No.errors,CheckAnnoComments,CheckSpID & MaxN 19/09/2024,Depth,geometry,Name
FLD24_S07_R06_H12-06_FF12_LEFTONLY,FLD24,05_FF_MR_160224_R,12_FF_MR_160224_PM,Southern Winds,Fiordland,Dusky Sound,Five Fingers,S07,R06,FiveFingers_MR_20240216_PM,FF12,FF12,NA,No,MR,2024,H12-06,H12-06L,H12-06R,2024-02-16T00:00:00Z,20240216,14:23,NA,45,42.86,166,29.872,33.5,41,14.1,15.8,"Calm, overcast/rain",1 kg crushed skipjack tuna,OK,_LEFTONLY,Left videos only,NA,"Very nice! Sand, schoolies, crayfish, few blue cod if any",NA,NA,Done,NA,Odette Howarth,Yes,No,Check,No,Only one video,NA,NA,koheru -> atun,Yes,41,"c(166.497866666667, -45.7143333333333)",DR2
FLD24_S08_R01_H12-01_RI01,FLD24,06_RI_NR_170224,01_RI_NR_170224_AM,Southern Winds,Fiordland,Dusky Sound,Resolution Island,S08,R01,ResolutionIsland_NR_20240217_AM,RI01,RI01,NA,No,NR,2024,H12-01,H12-01L,H12-01R,2024-02-17T00:00:00Z,20240217,09:19,NA,45,43.261,166,34.987,19.2,NA,NA,16,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Lots of blue cod, schoolie",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,Definitely need to check meancounts,probably ok,NA,galeus -> cepedianus,"Yes (corrected 7gill, and meancount and maxn for blue cod)",19.2,"c(166.583116666667, -45.7210166666667)",DZ2
FLD24_S08_R02_H12-02_RI02,FLD24,06_RI_NR_170224,02_RI_NR_170224_AM,Southern Winds,Fiordland,Dusky Sound,Resolution Island,S08,R02,ResolutionIsland_NR_20240217_AM,RI02,RI02,NA,No,NR,2024,H12-02,H12-02L,H12-02R,2024-02-17T00:00:00Z,20240217,09:26,NA,45,43.188,166,34.396,27.4,34,14.2,16,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,"This was written on the data sheet: ""check RI2 has RI3 whiteboard first (vid)"". Odette Howarth, please clarify what this means.",Sand with scattered red algae and potenital reef in the background. School of 6 kingfish came past the reef on left of left camera @P24:25.46 and another 3 20 seconds later. Crab seen @P42:04.42. J_MaxN the same as MaxN for BCO,NA,NA,Done,20240511,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,34,"c(166.573266666667, -45.7198)",DZ2
FLD24_S08_R03_H12-03_RI03,FLD24,06_RI_NR_170224,03_RI_NR_170224_AM,Southern Winds,Fiordland,Dusky Sound,Resolution Island,S08,R03,ResolutionIsland_NR_20240217_AM,RI03,RI03,NA,No,NR,2024,H12-03,H12-03L,H12-03R,2024-02-17T00:00:00Z,20240217,09:35,NA,45,42.812,166,33.545,21.7,25,14.4,16,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Reef, many scarlett wrasse, 7gill",NA,NA,Done,NA,Odette Howarth,Yes,Check,Redo,Redo,Random meancount periods,probably ok,NA,NA,Yes (corrected meancount and maxn for blue cod),25,"c(166.559083333333, -45.7135333333333)",DR2
FLD24_S08_R04_H12-04_PP01,FLD24,07_PP_MR_170224,01_PP_MR_170224_AM,Southern Winds,Fiordland,Dusky Sound,Pigeon & Parrot Islands,S08,R04,PigeonParrot_MR_20240217_AM,PP01,PP01,NA,No,MR,2024,H12-04,H12-04L,H12-04R,2024-02-17T00:00:00Z,20240217,09:43,NA,45,42.579,166,32.887,57.9,39,14,15.8,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Lots of blue cod, schoolie",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,NA,Yes (corrected all meancount frames and maxn),39,"c(166.548116666667, -45.70965)",DR2
FLD24_S08_R05_H12-05_PP02,FLD24,07_PP_MR_170224,02_PP_MR_170224_AM,Southern Winds,Fiordland,Dusky Sound,Pigeon & Parrot Islands,S08,R05,PigeonParrot_MR_20240217_AM,PP02,PP02,NA,No,MR,2024,H12-05,H12-05L,H12-05R,2024-02-17T00:00:00Z,20240217,09:51,NA,45,42.908,166,31.681,30,40,14.4,15.7,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,Videos were swapped with PP03; now fixed.,"Reef, blue cod, crayfish",NA,NA,Done,NA,Odette Howarth,Yes,Redo,Check,Redo,Videos were in the wrong folders so lengths used the wrong CAL files,yes,4,spectabilis -> H. huntii; dentex -> P. ciliaris; sp10 -> Jasedw; fixed cinctus,Yes (corrected... loads of things),40,"c(166.528016666667, -45.7151333333333)",DZ2
FLD24_S08_R06_H12-06_PP03_TILTED,FLD24,07_PP_MR_170224,02_PP_MR_170224_AM,Southern Winds,Fiordland,Dusky Sound,Pigeon & Parrot Islands,S08,R06,PigeonParrot_MR_20240217_AM,PP03,PP03,NA,No,MR,2024,H12-06,H12-06L,H12-06R,2024-02-17T00:00:00Z,20240217,09:57,NA,45,43.203,166,31.605,22.6,32,14.4,15.7,"Calm, overcast/rain",1 kg crushed skipjack tuna,OK,_TILTED,Tilted but ok,"Videos were swapped with PP02; now fixed. Sync with H12-05 cam = 95mm, Sync with H12-06 cam = 102. H12-05 .cam used. Tilted up but fine. Length measurements might not be ok because used different cal files.",Kelp; blue cod attacking another blue cod @ P29:53.86,NA,NA,Done,20240418,Alex Burton,Yes,Redo,Yes,Redo,Videos were in the wrong folders so lengths used the wrong CAL files,NA,NA,NA,NA,32,"c(166.52675, -45.72005)",DZ2
FLD24_S09_R01_H12-01_SI01,FLD24,08_SI_NR_170224,01_SI_NR_170224_MID,Southern Winds,Fiordland,Dusky Sound,Shag Island,S09,R01,ShagIsland_NR_20240217_MD,SI01,SI01,NA,No,NR,2024,H12-01,H12-01L,H12-01R,2024-02-17T00:00:00Z,20240217,13:15,NA,45,44.623,166,47.28,49.6,NA,NA,16.6,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Silty, lots of blue cod",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,NA,Yes,49.6,"c(166.788, -45.7437166666667)",DZ4
FLD24_S09_R02_H12-02_SI02,FLD24,08_SI_NR_170224,02_SI_NR_170224_MID,Southern Winds,Fiordland,Dusky Sound,Shag Island,S09,R02,ShagIsland_NR_20240217_MD,SI02,SI02,NA,No,NR,2024,H12-02,H12-02L,H12-02R,2024-02-17T00:00:00Z,20240217,13:22,NA,45,44.267,166,47.218,24.7,29,14.5,16.5,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,NA,NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,yes,NA,acanthias -> griffini,Yes (corrected a lot),29,"c(166.786966666667, -45.7377833333333)",DZ4
FLD24_S09_R03_H12-03_SI03,FLD24,08_SI_NR_170224,03_SI_NR_170224_MID,Southern Winds,Fiordland,Dusky Sound,Shag Island,S09,R03,ShagIsland_NR_20240217_MD,SI03,SI03,NA,No,NR,2024,H12-03,H12-03L,H12-03R,2024-02-17T00:00:00Z,20240217,13:30,NA,45,43.918,166,47.219,22,24,14.6,16.5,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Black coral, reef, red algae, 2+ schoolies, lots of blue cod",NA,yes,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,NA,Yes (deleted some bogus lengths),24,"c(166.786983333333, -45.7319666666667)",DZ4
FLD24_S09_R04_H12-04_SI04,FLD24,08_SI_NR_170224,04_SI_NR_170224_MID,Southern Winds,Fiordland,Dusky Sound,Shag Island,S09,R04,ShagIsland_NR_20240217_MD,SI04,SI04,NA,No,NR,2024,H12-04,H12-04L,H12-04R,2024-02-17T00:00:00Z,20240217,13:39,NA,45,44.002,166,46.182,29.7,36,14.2,16.5,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,Whiteboard says SH10,"Lots of blue cod, 3+ carpet sharks",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,yes,NA,acanthias -> griffini,Yes (fixed MaxN),36,"c(166.7697, -45.7333666666667)",DZ4
FLD24_S09_R05_H12-05_SI05,FLD24,08_SI_NR_170224,05_SI_NR_170224_MID,Southern Winds,Fiordland,Dusky Sound,Shag Island,S09,R05,ShagIsland_NR_20240217_MD,SI05,SI05,NA,No,NR,2024,H12-05,H12-05L,H12-05R,2024-02-17T00:00:00Z,20240217,13:46,NA,45,44.574,166,46.08,37.3,35,14.4,16.5,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,Videos were originally swapped with SI06; now fixed.,"Rock reef covered in coralline red algae. Hydriods attached to the rocks; partially obscured. Black coreal behind/next to the platform and in front of BRUV when it was moved before retrieval, >=5 plants, visible in L02.",NA,NA,Done,20240608,Alex Burton,Yes,Redo,Yes,Redo,Videos were in the wrong folders so lengths used the wrong CAL files,NA,NA,NA,NA,35,"c(166.768, -45.7429)",DZ3
FLD24_S09_R06_H12-06_SI06,FLD24,08_SI_NR_170224,06_SI_NR_170224_MID,Southern Winds,Fiordland,Dusky Sound,Shag Island,S09,R06,ShagIsland_NR_20240217_MD,SI06,SI06,NA,No,NR,2024,H12-06,H12-06L,H12-06R,2024-02-17T00:00:00Z,20240217,13:52,NA,45,44.629,166,45.418,22.1,28,14.6,16.5,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,Videos were originally swapped with SI05; now fixed.,"Rock with coral? Sync @ 95mm. Lot of suspended matter initially making it hard to see, especially in reflected light. NZ carpet shark @ P 05:54.27. Female school shark spotted @ P 03:28.01, damage under left pec fin and 3 scratches on left trunk below first dorsal origin. Adult male school shark seen @ P45:32.23, school shark maxN=2. Female Squalus acanthias seen @ P53:50.19. Same shark seen mouthing a blue cod @ P54:30.70. J_maxN length same as maxN length for blue cod",NA,NA,Done,20240405,Alex Burton,Yes,Redo,Yes,Redo,Videos were in the wrong folders so lengths used the wrong CAL files,NA,NA,NA,NA,28,"c(166.756966666667, -45.7438166666667)",DZ3
FLD24_S10_R01_H12-01_EC01,FLD24,09_EC_NR_170224,01_EC_NR_170224_PM,Southern Winds,Fiordland,Dusky Sound,East Cooper Island,S10,R01,EastCooper_NR_20240217_PM,EC01,EC01,NA,No,NR,2024,H12-01,H12-01L,H12-01R,2024-02-17T00:00:00Z,20240217,16:29,NA,45,44.078,166,55.268,36.4,NA,NA,16.7,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,NA,NA,NA,Done,NA,Odette Howarth,Yes,Check,Redo,Redo,Random meancount periods,yes,NA,koheru -> T. novaezelandiae; galeus -> griffini,Yes (fixed maxn),36.4,"c(166.921133333333, -45.7346333333333)",DZ4
FLD24_S10_R02_H12-02_EC02_VOID_TORCHFAIL,FLD24,09_EC_NR_170224,02_EC_TORCHFAIL_NR_170224_PM,Southern Winds,Fiordland,Dusky Sound,East Cooper Island,S10,R02,EastCooper_NR_20240217_PM,EC02,EC02,NA,No,NR,2024,H12-02,H12-02L,H12-02R,2024-02-17T00:00:00Z,20240217,16:37,NA,45,43.846,166,54.397,53.2,57,12,16.8,"Calm, overcast/rain",1 kg crushed skipjack tuna,Bad,_VOID_TORCHFAIL,Torch fail; void deployment,NA,NA,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,57,"c(166.906616666667, -45.7307666666667)",DZ4
FLD24_S10_R03_H12-03_EC03,FLD24,09_EC_NR_170224,02_EC_NR_170224_PM,Southern Winds,Fiordland,Dusky Sound,East Cooper Island,S10,R03,EastCooper_NR_20240217_PM,EC03,EC03,NA,No,NR,2024,H12-03,H12-03L,H12-03R,2024-02-17T00:00:00Z,20240217,16:44,NA,45,44.116,166,53.93,25,30,14.1,16.5,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, unknown species @ 211:23.32, possibly a gemfish or barrcouta? Sand/silt made it hard to measure animals. Could not get measurements at adult blue cod maxN. Lengths for juvenile maxN same as maxN lengths",NA,NA,Done,20240624,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,30,"c(166.898833333333, -45.7352666666667)",DZ4
FLD24_S10_R04_H12-04_EC04,FLD24,09_EC_NR_170224,04_EC_NR_170224_PM,Southern Winds,Fiordland,Dusky Sound,East Cooper Island,S10,R04,EastCooper_NR_20240217_PM,EC04,EC04,NA,No,NR,2024,H12-04,H12-04L,H12-04R,2024-02-17T00:00:00Z,20240217,16:52,NA,45,44.22,166,53.157,14.5,28,14.2,16.5,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Reef/shell, blue cod, schoolies, 7gill",NA,NA,Done,NA,Odette Howarth,Yes,Check,Redo,Redo,Meancounts missing,yes,NA,NA,Yes (fixed maxn),28,"c(166.88595, -45.737)",DZ4
FLD24_S10_R05_H12-05_EC05,FLD24,09_EC_NR_170224,05_EC_NR_170224_PM,Southern Winds,Fiordland,Dusky Sound,East Cooper Island,S10,R05,EastCooper_NR_20240217_PM,EC05,EC05,NA,No,NR,2024,H12-05,H12-05L,H12-05R,2024-02-17T00:00:00Z,20240217,17:25,NA,45,43.723,166,52.906,69.8,70,11.7,16.3,"Calm, overcast/rain",1 kg crushed skipjack tuna,Good,NA,NA,2nd L and R videos corrupt. No chop or whiteboard in left video. When canister entered the water was used as the sync. Whiteboard and chop seen in L video but states EC06.,"Sand/silt, scattered mollusc shells. Zooplankton playing in the lights. AD and J maxN lengths for blue cod are the same as maxN lengths",yes,NA,Done,20240624,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,70,"c(166.881766666667, -45.7287166666667)",DZ4
FLD24_S10_R06_H12-06_EC06_RIGHTONLY,FLD24,09_EC_NR_170224,06_EC_NR_170224_PM,Southern Winds,Fiordland,Dusky Sound,East Cooper Island,S10,R06,EastCooper_NR_20240217_PM,EC06,EC06,NA,No,NR,2024,H12-06,H12-06L,H12-06R,2024-02-17T00:00:00Z,20240217,17:13,NA,45,43.545,166,53.962,54,58,11.9,16.3,"Calm, overcast/rain",1 kg crushed skipjack tuna,OK,_RIGHTONLY,Right videos only,L video doesn't play; tried to fix with fix.video,"Sand/silt, hapuku (9:05), 2 hapuku, 7gill",yes,NA,Done,NA,Odette Howarth,Yes,No,Check,No,Only one video,yes,NA,NA,Yes,58,"c(166.899366666667, -45.72575)",DZ4
FLD24_S11_R01_H12-01_SC01,FLD24,10_SC_NR_180224,01_SC_NR_180224_AM,Southern Winds,Fiordland,Dusky Sound,Supper Cove,S11,R01,SupperCove_NR_20240218_AM,SC01,SC01,NA,No,NR,2024,H12-01,H12-01L,H12-01R,2024-02-18T00:00:00Z,20240218,10:50,NA,45,42.184,166,57.202,25.4,NA,NA,15.1,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt. A lot of opalfish. Brittle stars present. Visual maxN for N.cepedianus =2, Actual maxN=3",NA,NA,Done,20240624,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,25.4,"c(166.953366666667, -45.7030666666667)",DZ4
FLD24_S11_R02_H12-02_SC02,FLD24,10_SC_NR_180224,02_SC_NR_180224_AM,Southern Winds,Fiordland,Dusky Sound,Supper Cove,S11,R02,SupperCove_NR_20240218_AM,SC02,SC02,NA,No,NR,2024,H12-02,H12-02L,H12-02R,2024-02-18T00:00:00Z,20240218,10:58,NA,45,42.42,166,57.318,53,55,12.1,14.9,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, hagfish, little shark",yes,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,NA,Yes,55,"c(166.9553, -45.707)",DZ4
FLD24_S11_R03_H12-03_SC03,FLD24,10_SC_NR_180224,03_SC_NR_180224_AM,Southern Winds,Fiordland,Dusky Sound,Supper Cove,S11,R03,SupperCove_NR_20240218_AM,SC03,SC03,NA,No,NR,2024,H12-03,H12-03L,H12-03R,2024-02-18T00:00:00Z,20240218,11:05,NA,45,42.697,166,57.168,62,64,11.7,14.6,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, hagfish, school sharks. Lots of zooplankton in the frame dancing in the light, including translucent malacostracans. Gastropod spotted @P11:12.97",NA,NA,Done,20240511,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,64,"c(166.9528, -45.7116166666667)",DZ4
FLD24_S11_R04_H12-04_SC04,FLD24,10_SC_NR_180224,04_SC_NR_180224_AM,Southern Winds,Fiordland,Dusky Sound,Supper Cove,S11,R04,SupperCove_NR_20240218_AM,SC04,SC04,NA,No,NR,2024,H12-04,H12-04L,H12-04R,2024-02-18T00:00:00Z,20240218,11:10,NA,45,42.562,166,56.877,63,65,11.7,14.5,"Calm, partially overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, hapuku (50:50), hagfish",yes,NA,Done,20240629,Adam Smith,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,65,"c(166.94795, -45.7093666666667)",DZ4
FLD24_S11_R05_H12-05_SC05,FLD24,10_SC_NR_180224,05_SC_NR_180224_AM,Southern Winds,Fiordland,Dusky Sound,Supper Cove,S11,R05,SupperCove_NR_20240218_AM,SC05,SC05,NA,No,NR,2024,H12-05,H12-05L,H12-05R,2024-02-18T00:00:00Z,20240218,11:16,NA,45,42.439,166,56.612,53,54,12,14.6,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, 7gill, hagfish, brittle star, gastropods",yes,NA,Done,20240624,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,54,"c(166.943533333333, -45.7073166666667)",DZ4
FLD24_S11_R06_H12-06_SC06_TORCHFAIL,FLD24,10_SC_NR_180224,06_SC_TORCHFAIL_NR_180224_AM,Southern Winds,Fiordland,Dusky Sound,Supper Cove,S11,R06,SupperCove_NR_20240218_AM,SC06,SC06,NA,No,NR,2024,H12-06,H12-06L,H12-06R,2024-02-18T00:00:00Z,20240218,11:24,NA,45,42.152,166,56.773,26,23,14.3,14.6,"Calm, overcast",1 kg crushed skipjack tuna,OK,_TORCHFAIL,Torches failed but can see,Torch fail; ok for presence/absence of hapuku,"Sand/silt, hapuku (54:22)",yes,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,NA,NA,NA,Yes,23,"c(166.946216666667, -45.7025333333333)",DZ4
FLD24_S12_R01_H12-01_SH01,FLD24,11_SH_NR_180224,01_SH_NR_180224_MID,Southern Winds,Fiordland,Dusky Sound,Shark Cove,S12,R01,SharkCove_NR_20240218_MD,SH01,SH01,NA,No,NR,2024,H12-01,H12-01L,H12-01R,2024-02-18T00:00:00Z,20240218,13:30,NA,45,43.214,166,57.959,71.4,NA,NA,15.4,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, 7gill, many many hagfish",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,percoides -> bachus,Yes,71.4,"c(166.965983333333, -45.7202333333333)",DZ4
FLD24_S12_R02_H12-02_SH02,FLD24,11_SH_NR_180224,02_SH_NR_180224_MID,Southern Winds,Fiordland,Dusky Sound,Shark Cove,S12,R02,SharkCove_NR_20240218_MD,SH02,SH02,NA,No,NR,2024,H12-02,H12-02L,H12-02R,2024-02-18T00:00:00Z,20240218,13:35,NA,45,43.173,166,58.284,49,51,12.2,15.4,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, 7gill, maybe 6gill?",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,galeus -> cepeidanus,Yes,51,"c(166.9714, -45.71955)",DZ4
FLD24_S12_R03_H12-03_SH03,FLD24,11_SH_NR_180224,03_SH_NR_180224_MID,Southern Winds,Fiordland,Dusky Sound,Shark Cove,S12,R03,SharkCove_NR_20240218_MD,SH03,SH03,NA,No,NR,2024,H12-03,H12-03L,H12-03R,2024-02-18T00:00:00Z,20240218,13:40,NA,45,43.023,166,58.567,23,28,13.6,15.5,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, unidentified species @ 09:24.33. A second unknown species @ 11:05.97, Schools of fish in background just out of sight around P27:00.00",yes,NA,Done,20240624,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,28,"c(166.976116666667, -45.71705)",DZ4
FLD24_S12_R04_H12-04_SH04,FLD24,11_SH_NR_180224,04_SH_NR_180224_MID,Southern Winds,Fiordland,Dusky Sound,Shark Cove,S12,R04,SharkCove_NR_20240218_MD,SH04,SH04,NA,No,NR,2024,H12-04,H12-04L,H12-04R,2024-02-18T00:00:00Z,20240218,13:57,NA,45,43.713,166,57.05,18,33,13.7,15.7,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, Sand burrower/opal fish @ P12:12.97. Tarakihi being chased by blue cod around 31:00.00. Blue cod chasing each other @ P 37:35.95. Male and female spotty's seen together (3 males to one female). Squalus griffini @ P53:50.53, female, has a broken second dorsal fin spine. Stayed around till end of the transect. J_maxN_length and max_length the same for juvenile blue cod",NA,NA,Done,20240404,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,33,"c(166.950833333333, -45.72855)",DZ4
FLD24_S12_R05_H12-05_SH05,FLD24,11_SH_NR_180224,05_SH_NR_180224_MID,Southern Winds,Fiordland,Dusky Sound,Shark Cove,S12,R05,SharkCove_NR_20240218_MD,SH05,SH05,NA,No,NR,2024,H12-05,H12-05L,H12-05R,2024-02-18T00:00:00Z,20240218,14:02,NA,45,43.89,166,56.808,48,51,12.1,15.7,"Calm, overcast",1 kg crushed skipjack tuna,Good,NA,NA,NA,"Sand/silt, blue cod, schoolie",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,NA,Yes,51,"c(166.9468, -45.7315)",DZ4
FLD24_S12_R06_H12-06_SH06_LEFTONLY,FLD24,11_SH_NR_180224,06_SH_NR_180224_MID,Southern Winds,Fiordland,Dusky Sound,Shark Cove,S12,R06,SharkCove_NR_20240218_MD,SH06,SH06,NA,No,NR,2024,H12-06,H12-06L,H12-06R,2024-02-18T00:00:00Z,20240218,14:09,NA,45,43.265,166,56.902,28,32,13.8,15.7,"Calm, sunny",1 kg crushed skipjack tuna,Good,_LEFTONLY,NA,NA,"Sand/silt, blue cod, schoolie, 7gill",NA,NA,Done,NA,Odette Howarth,Yes,No,Check,No,NA,probably ok,NA,galeus -> griffini,Yes,32,"c(166.948366666667, -45.7210833333333)",DZ4
FLD24_S13_R01_H12-01_FB01,FLD24,12_CIFB_NR_180224,01_CI_NR_180224_PM,Southern Winds,Fiordland,Dusky Sound,Cooper Island,S13,R01,CooperIsland_NR_20240218_PM,FB01,FB01,NA,No,NR,2024,H12-01,H12-01L,H12-01R,2024-02-18T00:00:00Z,20240218,15:58,NA,45,44.276,166,52.881,27,NA,NA,16.4,"Calm, sunny",1 kg crushed skipjack tuna,Good,NA,Corrupt 2nd L and R videos,"""CIFB"" and ""CI"" in folder.","Sand/silt, 7gill, blue cod, sponges/gastropods buried in sediment. Interstial worms in sediment as well",NA,NA,Done,20240624,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,27,"c(166.88135, -45.7379333333333)",DZ4
FLD24_S13_R02_H12-02_FB02,FLD24,12_CIFB_NR_180224,02_CI_NR_180224_PM,Southern Winds,Fiordland,Dusky Sound,Cooper Island,S13,R02,CooperIsland_NR_20240218_PM,FB02,FB02,NA,No,NR,2024,H12-02,H12-02L,H12-02R,2024-02-18T00:00:00Z,20240218,16:05,NA,45,44.451,166,52.673,39,45,12.8,16.3,"Calm, sunny",1 kg crushed skipjack tuna,Good,NA,NA,"""CIFB"" and ""CI"" in folder.  L02 and R02 cannot be opened due to not being able to read file format even though both 01's nad 02's are MP4's","Sand/silt, sea pens, gastropods. Unknown shark @ P41:00.00. Hagfish initated slime response @ 48:08.89, cause unknown",NA,NA,Done,20240418,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,45,"c(166.877883333333, -45.74085)",DZ4
FLD24_S13_R03_H12-03_FB03,FLD24,12_CIFB_NR_180224,03_CI_NR_180224_PM,Southern Winds,Fiordland,Dusky Sound,Cooper Island,S13,R03,CooperIsland_NR_20240218_PM,FB03,FB03,NA,No,NR,2024,H12-03,H12-03L,H12-03R,2024-02-18T00:00:00Z,20240218,16:17,NA,45,44.471,166,52.148,50,52,12.3,16.2,"Calm, sunny",1 kg crushed skipjack tuna,Good,NA,Corrupt 2nd L and R videos,"""CIFB"" and ""CI"" in folder","Sand/silt, blue cod, schoolie, 7gill, unknown species borrowing in/crawling on sediment",NA,NA,Done,20240625,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,52,"c(166.869133333333, -45.7411833333333)",DZ4
FLD24_S13_R04_H12-04_FB04,FLD24,12_CIFB_NR_180224,04_CI_NR_180224_PM,Southern Winds,Fiordland,Dusky Sound,Cooper Island,S13,R04,CooperIsland_NR_20240218_PM,FB04,FB04,NA,No,NR,2024,H12-04,H12-04L,H12-04R,2024-02-18T00:00:00Z,20240218,16:31,NA,45,45.148,166,51.757,24,27,14.5,16.2,"Calm, sunny",1 kg crushed skipjack tuna,Good,NA,NA,"""CIFB"" and ""CI"" in folder","Sand/silt, blue cod, schoolie",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,NA,Yes (fixed maxn),27,"c(166.862616666667, -45.7524666666667)",DZ4
FLD24_S13_R05_H12-05_FB05,FLD24,12_CIFB_NR_180224,05_FB_NR_180224_PM,Southern Winds,Fiordland,Dusky Sound,Fanny Bay,S13,R05,FannyBay_NR_20240218_PM,FB05,FB05,NA,No,NR,2024,H12-05,H12-05L,H12-05R,2024-02-18T00:00:00Z,20240218,16.47,NA,45,45.728,166,50.083,60,62,12,16.3,"Choppy, overcast",1 kg crushed skipjack tuna,Good,NA,Corrupt 2nd L and R videos,"""CIFB"" and ""FB"" in folder","Sand/silt, very little, sea perch, worm/tusk shell? dragging itself along the sediment",NA,NA,Done,20240625,Alex Burton,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,62,"c(166.834716666667, -45.7621333333333)",DZ4
FLD24_S13_R06_H12-06_FB06,FLD24,12_CIFB_NR_180224,06_FB_NR_180224_PM,Southern Winds,Fiordland,Dusky Sound,Fanny Bay,S13,R06,FannyBay_NR_20240218_PM,FB06,FB06,NA,No,NR,2024,H12-06,H12-06L,H12-06R,2024-02-18T00:00:00Z,20240218,17:00,NA,45,46.307,166,50.514,66,71,11.9,15.5,"Choppy, overcast",1 kg crushed skipjack tuna,Good,NA,NA,"""CIFB"" and ""FB"" in folder","Sand/silt, hagfish",NA,NA,Done,NA,Odette Howarth,Yes,Check,Check,Check,NA,probably ok,NA,NA,Yes,71,"c(166.8419, -45.7717833333333)",DZ4
